,restaurant_city,month,precip_mm_avg,wind_speed_avg
0,Kazan,1,4.219901193906957,11.829227053140096
1,Kazan,2,4.725955400087451,12.296532769556025
2,Kazan,3,3.1018135922330097,10.421750563486102
3,Kazan,4,3.3279799666110184,9.828919141914191
4,Kazan,5,3.894544744040641,9.583146487294469
5,Kazan,6,2.89881917211329,9.522798145806995
6,Kazan,7,3.248295926849543,11.009854604200324
7,Kazan,8,3.3707020547945206,11.768493150684932
8,Kazan,9,4.5465617232808615,11.5344
9,Kazan,10,2.4260532319391634,7.628745247148289
10,Kazan,11,3.8909326845093264,11.979805352798055
11,Kazan,12,3.8695903010033446,13.090177133655395
12,Moscow,1,5.720882520402354,12.807115834984687
13,Moscow,2,5.716251278903212,11.831227722772276
14,Moscow,3,3.0409778729478942,10.816503623188405
15,Moscow,4,4.4560500481231955,9.381167210597043
16,Moscow,5,3.6699035187287175,9.875
17,Moscow,6,4.3632938816449345,9.1149375975039
18,Moscow,7,4.058662716885315,9.50775370581528
19,Moscow,8,4.187152724481964,11.445165003837298
20,Moscow,9,3.6469025902955123,10.364720904779277
21,Moscow,10,4.554430983847284,9.272209985315712
22,Moscow,11,6.140433482810164,12.144955156950672
23,Moscow,12,4.9317880794701985,12.903737985048059
24,SPB,1,7.220415420405451,11.733344061795945
25,SPB,2,6.2306721194879096,12.589076766993575
26,SPB,3,5.314601013299557,9.762717882504843
27,SPB,4,6.519908256880734,9.593910256410258
28,SPB,5,4.99714105396024,10.776965944272446
29,SPB,6,4.600628491620112,10.325572384642479
30,SPB,7,5.512307147912244,11.787491727332894
31,SPB,8,6.63352978453739,11.113181242078582
32,SPB,9,6.045513234344739,10.485319865319866
33,SPB,10,3.6700504413619166,10.290958164642376
34,SPB,11,6.977453416149069,12.723880597014926
35,SPB,12,5.5181708094327595,13.647540983606557
